MUNICIPIO,COD,porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Lucas,712,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Matías,713,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soledad,714,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teupasenti,715,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texiguat,716,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vado Ancho,717,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yauyupe,718,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trojes,719,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Central,801,21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alubarén,802,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedros,803,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curarén,804,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Porvenir,805,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaimaca,806,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Libertad,807,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Venta,808,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepaterique,809,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maraita,810,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marale,811,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nueva Armenia,812,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ojojona,813,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orica,814,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reitoca,815,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabanagrande,816,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio de Oriente,817,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Buenaventura,818,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Ignacio,819,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Juan de Flores,820,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Miguelito,821,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Ana,822,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Lucía,823,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talanga,824,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatumbla,825,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valle de Angeles,826,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa de San Francisco,827,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallecillo,828,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Lempira,901,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brus Laguna,902,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahuas,903,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Francisco Bulnes,904,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramon Villeda Morales,905,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wampusirpi,906,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Esperanza,1001,10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camasca,1002,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colomoncagua,1003,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepción,1004,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolores,1005,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intibucá,1006,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesús de Otoro,1007,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magdalena,1008,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaguara,1009,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,1010,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Isidro,1011,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Juan,1012,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos de Sierra,1013,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Miguelito,1014,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Lucía,1015,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
